#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt\.git","Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt",".git","C","Microsoft.PowerShell.Core\FileSystem","True","da-h--",".git","System.Collections.Generic.List`1[System.String]",,".git","C:\Users\I587436\AntiAccecpt\.git","AntiAccecpt","True","C:\",".git","2/21/2026 2:06:02 PM","2/21/2026 8:36:02 AM","2/24/2026 12:20:23 AM","2/23/2026 6:50:23 PM","2/24/2026 12:20:23 AM","2/23/2026 6:50:23 PM","Hidden, Directory, Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt\node_modules","Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt","node_modules","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","node_modules","System.Collections.Generic.List`1[System.String]",,"node_modules","C:\Users\I587436\AntiAccecpt\node_modules","AntiAccecpt","True","C:\","","2/21/2026 3:18:34 AM","2/20/2026 9:48:34 PM","2/23/2026 11:16:01 PM","2/23/2026 5:46:01 PM","2/22/2026 4:30:43 AM","2/21/2026 11:00:43 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt\out","Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt","out","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","out","System.Collections.Generic.List`1[System.String]",,"out","C:\Users\I587436\AntiAccecpt\out","AntiAccecpt","True","C:\","","2/21/2026 3:20:03 AM","2/20/2026 9:50:03 PM","2/23/2026 11:25:48 PM","2/23/2026 5:55:48 PM","2/23/2026 11:25:48 PM","2/23/2026 5:55:48 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt\src","Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt","src","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","src","System.Collections.Generic.List`1[System.String]",,"src","C:\Users\I587436\AntiAccecpt\src","AntiAccecpt","True","C:\","","2/21/2026 3:16:04 AM","2/20/2026 9:46:04 PM","2/24/2026 12:20:09 AM","2/23/2026 6:50:09 PM","2/23/2026 11:20:05 PM","2/23/2026 5:50:05 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt\.gitignore","Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt",".gitignore","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","","System.Collections.Generic.List`1[System.String]",,".gitignore","C:\Users\I587436\AntiAccecpt\.gitignore",,"True",,".gitignore","2/21/2026 2:08:57 PM","2/21/2026 8:38:57 AM","2/23/2026 11:24:28 PM","2/23/2026 5:54:28 PM","2/21/2026 2:08:57 PM","2/21/2026 8:38:57 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt\.vscodeignore","Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt",".vscodeignore","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","","System.Collections.Generic.List`1[System.String]",,".vscodeignore","C:\Users\I587436\AntiAccecpt\.vscodeignore",,"True",,".vscodeignore","2/21/2026 3:16:43 AM","2/20/2026 9:46:43 PM","2/24/2026 12:22:30 AM","2/23/2026 6:52:30 PM","2/23/2026 10:00:26 PM","2/23/2026 4:30:26 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt\auto-accecpt-antigravity-0.2.1.vsix","Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt","auto-accecpt-antigravity-0.2.1.vsix","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","auto-accecpt-antigravity-0.2.1","System.Collections.Generic.List`1[System.String]",,"auto-accecpt-antigravity-0.2.1.vsix","C:\Users\I587436\AntiAccecpt\auto-accecpt-antigravity-0.2.1.vsix",,"True",,".vsix","2/21/2026 12:44:07 PM","2/21/2026 7:14:07 AM","2/24/2026 12:22:30 AM","2/23/2026 6:52:30 PM","2/21/2026 12:44:08 PM","2/21/2026 7:14:08 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt\auto-accept-agent-0.1.0.vsix","Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt","auto-accept-agent-0.1.0.vsix","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","auto-accept-agent-0.1.0","System.Collections.Generic.List`1[System.String]",,"auto-accept-agent-0.1.0.vsix","C:\Users\I587436\AntiAccecpt\auto-accept-agent-0.1.0.vsix",,"True",,".vsix","2/21/2026 3:21:45 AM","2/20/2026 9:51:45 PM","2/24/2026 12:22:30 AM","2/23/2026 6:52:30 PM","2/21/2026 3:28:59 AM","2/20/2026 9:58:59 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt\auto-accept-agent-0.2.0.vsix","Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt","auto-accept-agent-0.2.0.vsix","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","auto-accept-agent-0.2.0","System.Collections.Generic.List`1[System.String]",,"auto-accept-agent-0.2.0.vsix","C:\Users\I587436\AntiAccecpt\auto-accept-agent-0.2.0.vsix",,"True",,".vsix","2/21/2026 12:10:17 PM","2/21/2026 6:40:17 AM","2/24/2026 12:22:30 AM","2/23/2026 6:52:30 PM","2/21/2026 12:10:17 PM","2/21/2026 6:40:17 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt\auto-accept-antigravity-0.2.1.vsix","Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt","auto-accept-antigravity-0.2.1.vsix","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","auto-accept-antigravity-0.2.1","System.Collections.Generic.List`1[System.String]",,"auto-accept-antigravity-0.2.1.vsix","C:\Users\I587436\AntiAccecpt\auto-accept-antigravity-0.2.1.vsix",,"True",,".vsix","2/21/2026 1:45:22 PM","2/21/2026 8:15:22 AM","2/24/2026 12:22:30 AM","2/23/2026 6:52:30 PM","2/21/2026 10:45:36 PM","2/21/2026 5:15:36 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt\auto-accept-antigravity-0.3.0.vsix","Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt","auto-accept-antigravity-0.3.0.vsix","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","auto-accept-antigravity-0.3.0","System.Collections.Generic.List`1[System.String]",,"auto-accept-antigravity-0.3.0.vsix","C:\Users\I587436\AntiAccecpt\auto-accept-antigravity-0.3.0.vsix",,"True",,".vsix","2/22/2026 12:21:45 AM","2/21/2026 6:51:45 PM","2/24/2026 12:22:30 AM","2/23/2026 6:52:30 PM","2/22/2026 12:40:20 AM","2/21/2026 7:10:20 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt\auto-accept-antigravity-0.4.0.vsix","Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt","auto-accept-antigravity-0.4.0.vsix","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","auto-accept-antigravity-0.4.0","System.Collections.Generic.List`1[System.String]",,"auto-accept-antigravity-0.4.0.vsix","C:\Users\I587436\AntiAccecpt\auto-accept-antigravity-0.4.0.vsix",,"True",,".vsix","2/22/2026 12:56:59 AM","2/21/2026 7:26:59 PM","2/24/2026 12:22:30 AM","2/23/2026 6:52:30 PM","2/22/2026 1:34:29 AM","2/21/2026 8:04:29 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt\auto-accept-antigravity-0.5.0.vsix","Microsoft.PowerShell.Core\FileSystem::C:\Users\I587436\AntiAccecpt","auto-accept-antigravity-0.5.0.vsix","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","auto-accept-antigravity-0.5.0","System.Collections.Generic.List`1[System.String]",,"auto-accept-antigravity-0.5.0.vsix","C:\Users\I587436\AntiAccecpt\auto-accept-antigravity-0.5.0.vsix",,"True",,".vsix","2/22/2026 2:27:15 AM","2/21/2026 8:57:15 PM","2/24/2026 12:22:30 AM","2/23/2026 6:52:30 PM","2/22/2026 2:27:15 AM","2/21/2026 8:57:15 PM","Archive"
